time_d,bottom_O2_mg_L
0.0,7.52
1.0,7.88
2.0,7.43
3.0,8.16
4.0,7.34
5.0,7.13
6.0,7.2
7.0,6.56
8.0,6.54
9.0,6.32
10.0,6.1
11.0,6.61
12.0,6.22
13.0,6.2
14.0,6.45
15.0,5.77
16.0,5.61
17.0,5.8
18.0,5.27
19.0,5.82
20.0,5.17
21.0,5.47
22.0,5.83
23.0,5.35
24.0,5.3
25.0,5.29
26.0,5.53
27.0,5.14
28.0,5.13
29.0,5.37
30.0,5.55
31.0,5.16
32.0,5.03
33.0,5.06
34.0,5.35
35.0,5.13
36.0,4.99
37.0,5.19
38.0,5.29
39.0,5.57
40.0,5.08
41.0,5.2
42.0,5.67
43.0,5.57
44.0,5.54
45.0,5.57
46.0,5.14
47.0,5.05
48.0,5.39
49.0,5.44
50.0,5.24
51.0,5.3
52.0,5.57
53.0,5.34
54.0,5.5
55.0,5.43
56.0,5.37
57.0,5.52
58.0,5.67
59.0,5.65
60.0,5.62
